"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Должен правильно делить два числа","2","Деление чисел","","Fri Dec 05 23:11:08 UTC 2025","passed","Fri Dec 05 23:11:08 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testDivide"
"Должен определять неидентичность null и обычной строки","1","Сравнение null и обычной строки","","Fri Dec 05 23:11:08 UTC 2025","passed","Fri Dec 05 23:11:08 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testNullAndNonNullStrings"
"Должен корректно сравнивать два числа, когда a > b","2","Сравнение: a больше b","","Fri Dec 05 23:11:08 UTC 2025","passed","Fri Dec 05 23:11:08 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testCompareWhenAGreaterThanB"
"Должен правильно делить с остатком","6","Деление с дробным результатом","","Fri Dec 05 23:11:08 UTC 2025","passed","Fri Dec 05 23:11:08 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testDivideWithRemainder"
"Должен возвращать только чётные числа","2","Все возвращённые числа чётные","","Fri Dec 05 23:11:08 UTC 2025","passed","Fri Dec 05 23:11:08 UTC 2025","","Задача 3: Тесты фильтра чётных чисел","org.example.tasks.Task3EvenNumberFilterTest","testAllNumbersAreEven"
"Должен корректно сравнивать два числа, когда a = b","1","Сравнение: a равно b","","Fri Dec 05 23:11:08 UTC 2025","passed","Fri Dec 05 23:11:08 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testCompareWhenAEqualsB"
"Должен определять идентичные строки","2","Сравнение идентичных строк","","Fri Dec 05 23:11:08 UTC 2025","passed","Fri Dec 05 23:11:08 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testIdenticalStrings"
"Должен правильно вычитать два числа","2","Вычитание чисел","","Fri Dec 05 23:11:08 UTC 2025","passed","Fri Dec 05 23:11:08 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testSubtract"
"","1","Application compiles successfully","","Fri Dec 05 23:11:08 UTC 2025","passed","Fri Dec 05 23:11:08 UTC 2025","","Smoke Tests","org.example.SmokeTest","applicationCompiles"
"Должен правильно складывать два числа","4","Сложение чисел","","Fri Dec 05 23:11:08 UTC 2025","passed","Fri Dec 05 23:11:08 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testAdd"
"Должен фильтровать чётные числа из массива [1,2,3,4,5,6,7,8,9,10]","45","Фильтрация чётных чисел из заданного массива","","Fri Dec 05 23:11:08 UTC 2025","passed","Fri Dec 05 23:11:08 UTC 2025","","Задача 3: Тесты фильтра чётных чисел","org.example.tasks.Task3EvenNumberFilterTest","testFilterEvenNumbers"
"Должен различать строки с разным регистром","3","Сравнение строк с разным регистром","","Fri Dec 05 23:11:08 UTC 2025","passed","Fri Dec 05 23:11:08 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testCaseSensitiveComparison"
"Должен различать строки с разным количеством пробелов","1","Сравнение строк с разными пробелами","","Fri Dec 05 23:11:08 UTC 2025","passed","Fri Dec 05 23:11:08 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testStringsWithDifferentSpaces"
"Должен сохранять порядок чётных чисел","1","Сохранение порядка","","Fri Dec 05 23:11:08 UTC 2025","passed","Fri Dec 05 23:11:08 UTC 2025","","Задача 3: Тесты фильтра чётных чисел","org.example.tasks.Task3EvenNumberFilterTest","testMaintainOrder"
